country,number,item,item_id,shortform,pageid,wikidata_description
Serbia,34,Trajan's Bridge,http://www.wikidata.org/entity/Q849786,wd:Q849786,1215420,Roman segmental arch bridge over the lower Danube
Singapore,21,Johor–Singapore Causeway,http://www.wikidata.org/entity/Q892615,wd:Q892615,2501940,border connection between Peninsula Malaysia and Singapore
Slovakia,34,Most SNP,http://www.wikidata.org/entity/Q837291,wd:Q837291,1284844,"bridge over Danube in Bratislava, Slovakia"
Slovenia,21,Dragon Bridge,http://www.wikidata.org/entity/Q660029,wd:Q660029,16406404,"arch bridge in Lubjana, Slovenia"
South Africa,11,Bloukrans Bridge,http://www.wikidata.org/entity/Q885469,wd:Q885469,8937300,bridge on the N2 highway in South Africa
South Korea,19,Incheon Bridge,http://www.wikidata.org/entity/Q483949,wd:Q483949,10380125,"longest span cable-stayed bridge in South Korea, opened 2009 linking Yeongjong Island with Incheon on the mainland"
South Sudan,1,Freedom Bridge,http://www.wikidata.org/entity/Q48789869,wd:Q48789869,55482391,bridge in South Sudan
Spain,55,Aqueduct of Segovia,http://www.wikidata.org/entity/Q244947,wd:Q244947,4064177,"aqueduct bridge in Segovia, Spain"
Sri Lanka,6,Kallady Bridge,http://www.wikidata.org/entity/Q6353480,wd:Q6353480,35958859,Kallady Bridge is a road bridge in Eastern Sri Lanka
State of Palestine,8,Jisr ed Damiye,http://www.wikidata.org/entity/Q2916379,wd:Q2916379,40859941,"bridge in Israel and Damia, Jordan"
Sudan,7,Tuti Bridge,http://www.wikidata.org/entity/Q652705,wd:Q652705,16172566,bridge
Suriname,10,Jules Wijdenbosch Bridge,http://www.wikidata.org/entity/Q402132,wd:Q402132,26314575,bridge
Sweden,65,Øresund Bridge,http://www.wikidata.org/entity/Q297871,wd:Q297871,70374,road and railway bridge over Øresund
Switzerland,31,Kapellbrücke,http://www.wikidata.org/entity/Q25225,wd:Q25225,1811906,"bridge across the river Reuss in Lucerne, Switzerland"
Syria,9,Deir ez-Zor suspension bridge,http://www.wikidata.org/entity/Q5252538,wd:Q5252538,12098847,"bridge in Deir ez-Zor, Syria"
Taiwan,8,Penghu Great Bridge,http://www.wikidata.org/entity/Q717624,wd:Q717624,49538599,bridge in Taiwan
Tajikistan,12,Tajik–Afghan Friendship Bridge,http://www.wikidata.org/entity/Q7676856,wd:Q7676856,8354873,"bridge in Darvaz, Tajikistan / Afghanistan"
Tanzania,8,Unity Bridge,http://www.wikidata.org/entity/Q1128124,wd:Q1128124,14934077,bridge
Thailand,28,First Thai–Lao Friendship Bridge,http://www.wikidata.org/entity/Q917862,wd:Q917862,1108868,Bridge over Mekong River
The Gambia,7,Senegambia bridge,http://www.wikidata.org/entity/Q60851956,wd:Q60851956,59752747,Bridge in Gambia
Tunisia,5,Radès-La Goulette Bridge,http://www.wikidata.org/entity/Q3396694,wd:Q3396694,71620027,bridge in Tunisia
Turkey,60,15 July Martyrs Bridge,http://www.wikidata.org/entity/Q4484,wd:Q4484,4096049,"bridge on Bosphorus in Istanbul, Turkey"
Turkmenistan,5,Atamurat-Kerkichi Bridge,http://www.wikidata.org/entity/Q4304501,wd:Q4304501,41027726,bridge in Turkmenistan
Uganda,2,New Jinja Bridge,http://www.wikidata.org/entity/Q14629102,wd:Q14629102,29464844,bridge in Uganda
Ukraine,61,Crimean Bridge,http://www.wikidata.org/entity/Q2652980,wd:Q2652980,22563317,bridge connecting Russia's Krasnodar Krai with Crimea
United Arab Emirates,6,Al Garhoud Bridge,http://www.wikidata.org/entity/Q2535995,wd:Q2535995,4047849,bridge in United Arab Emirates
United Kingdom,82,Tower Bridge,http://www.wikidata.org/entity/Q83125,wd:Q83125,60646,bascule and suspension bridge in London
United States of America,105,Golden Gate Bridge,http://www.wikidata.org/entity/Q44440,wd:Q44440,12103,suspension bridge on the San Francisco Bay
Uruguay,18,Laguna Garzón Bridge,http://www.wikidata.org/entity/Q22342143,wd:Q22342143,49248166,bridge in Uruguay
Uzbekistan,22,Afghanistan–Uzbekistan Friendship Bridge,http://www.wikidata.org/entity/Q509824,wd:Q509824,2174746,road–rail bridge bridge betwenn Afghanistan and Uzbekistan
Venezuela,17,General Rafael Urdaneta Bridge,http://www.wikidata.org/entity/Q317207,wd:Q317207,1251268,Bridge in Venezuela
Vietnam,18,Cần Thơ Bridge,http://www.wikidata.org/entity/Q1151193,wd:Q1151193,13456829,Bridge in Vietnam
Yemen,6,Shaharah Bridge,http://www.wikidata.org/entity/Q3397149,wd:Q3397149,72001027,bridge in Yemen
Zambia,17,Victoria Falls Bridge,http://www.wikidata.org/entity/Q317323,wd:Q317323,1303421,deck arch bridge in Zambia
Zimbabwe,17,Victoria Falls Bridge,http://www.wikidata.org/entity/Q317323,wd:Q317323,1303421,deck arch bridge in Zambia
