samplepainter,country,countryLabel,numsitelinks,painterlabel
http://www.wikidata.org/entity/Q466531,http://www.wikidata.org/entity/Q30609,Independent Macedonia,42,Esma Redžepova
http://www.wikidata.org/entity/Q57512,http://www.wikidata.org/entity/Q790,Haiti,42,Michel Martelly
http://www.wikidata.org/entity/Q215012,http://www.wikidata.org/entity/Q235,Monaco,41,Princess Stéphanie of Monaco
http://www.wikidata.org/entity/Q430744,http://www.wikidata.org/entity/Q214,Slovakia,41,Kristína Peláková
http://www.wikidata.org/entity/Q229366,http://www.wikidata.org/entity/Q211,Latvia,40,Marija Naumova
http://www.wikidata.org/entity/Q207355,http://www.wikidata.org/entity/Q179876,Kingdom of England,40,John Dowland
http://www.wikidata.org/entity/Q164504,http://www.wikidata.org/entity/Q131964,Austrian Empire,40,Maria Theresa of Naples and Sicily
http://www.wikidata.org/entity/Q310679,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,40,Dino Merlin
http://www.wikidata.org/entity/Q234174,http://www.wikidata.org/entity/Q25,Wales,40,Marina Diamandis
http://www.wikidata.org/entity/Q445829,http://www.wikidata.org/entity/Q1009,Cameroon,40,Manu Dibango
http://www.wikidata.org/entity/Q211337,http://www.wikidata.org/entity/Q229,Cyprus,39,Ivi Adamou
http://www.wikidata.org/entity/Q223744,http://www.wikidata.org/entity/Q173065,Kingdom of Naples,39,Farinelli
http://www.wikidata.org/entity/Q16911049,http://www.wikidata.org/entity/Q1246,Kosovo,39,Era Istrefi
http://www.wikidata.org/entity/Q541680,http://www.wikidata.org/entity/Q265,Uzbekistan,38,Gulnara Karimova
http://www.wikidata.org/entity/Q25501424,http://www.wikidata.org/entity/Q232,Kazakhstan,38,Dimash Kudaibergen
http://www.wikidata.org/entity/Q215308,http://www.wikidata.org/entity/Q154849,Grand Duchy of Tuscany,37,Giulio Caccini
http://www.wikidata.org/entity/Q469818,http://www.wikidata.org/entity/Q837,Nepal,37,Udit Narayan
http://www.wikidata.org/entity/Q433039,http://www.wikidata.org/entity/Q217,Moldova,37,Natalia Gordienko
http://www.wikidata.org/entity/Q714658,http://www.wikidata.org/entity/Q423,North Korea,37,Ri Sol-ju
http://www.wikidata.org/entity/Q122823,http://www.wikidata.org/entity/Q114,Kenya,36,Stella Mwangi
http://www.wikidata.org/entity/Q297693,http://www.wikidata.org/entity/Q1045,Somalia,36,K’naan Warsame
http://www.wikidata.org/entity/Q149074,http://www.wikidata.org/entity/Q236,Montenegro,35,Rambo Amadeus
http://www.wikidata.org/entity/Q21524985,http://www.wikidata.org/entity/Q233,Malta,35,Destiny Chukunyere
http://www.wikidata.org/entity/Q314562,http://www.wikidata.org/entity/Q200262,Kingdom of Navarre,35,Theobald I of Navarre
http://www.wikidata.org/entity/Q237570,http://www.wikidata.org/entity/Q26,Northern Ireland,34,Linda Martin
http://www.wikidata.org/entity/Q434291,http://www.wikidata.org/entity/Q215,Slovenia,34,Rade Šerbedžija
http://www.wikidata.org/entity/Q286089,http://www.wikidata.org/entity/Q184,Belarus,34,Alyona Lanskaya
http://www.wikidata.org/entity/Q4249935,http://www.wikidata.org/entity/Q184,Belarus,34,Nadine Koutcher
http://www.wikidata.org/entity/Q48502,http://www.wikidata.org/entity/Q600018,Kingdom of Hungary,33,Marika Rökk
http://www.wikidata.org/entity/Q48502,http://www.wikidata.org/entity/Q713750,West Germany,33,Marika Rökk
http://www.wikidata.org/entity/Q48502,http://www.wikidata.org/entity/Q28513,Austria-Hungary,33,Marika Rökk
http://www.wikidata.org/entity/Q220826,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,33,Jessy Matador
http://www.wikidata.org/entity/Q298022,http://www.wikidata.org/entity/Q211274,Polish People's Republic,33,Anna German
http://www.wikidata.org/entity/Q379909,http://www.wikidata.org/entity/Q37,Lithuania,33,Donny Montell
http://www.wikidata.org/entity/Q357291,http://www.wikidata.org/entity/Q5813,Canary Islands,31,Alfredo Kraus
http://www.wikidata.org/entity/Q348649,http://www.wikidata.org/entity/Q800,Costa Rica,31,Harry Shum
http://www.wikidata.org/entity/Q77006,http://www.wikidata.org/entity/Q842794,Socialist Republic of Romania,31,Michael Cretu
http://www.wikidata.org/entity/Q240907,http://www.wikidata.org/entity/Q986,Eritrea,31,Senhit
http://www.wikidata.org/entity/Q311674,http://www.wikidata.org/entity/Q148540,Republic of Florence,31,Francesco Landini
http://www.wikidata.org/entity/Q356762,http://www.wikidata.org/entity/Q804,Panama,31,Miguel Bosé
http://www.wikidata.org/entity/Q272898,http://www.wikidata.org/entity/Q4628,Faroe Islands,31,Eivør Pálsdóttir
http://www.wikidata.org/entity/Q258299,http://www.wikidata.org/entity/Q467864,People's Socialist Republic of Albania,31,Inva Mula
http://www.wikidata.org/entity/Q234811,http://www.wikidata.org/entity/Q161885,Great Britain,31,"Emma, Lady Hamilton"
http://www.wikidata.org/entity/Q96700223,http://www.wikidata.org/entity/Q881,Vietnam,31,Amee
http://www.wikidata.org/entity/Q209845,http://www.wikidata.org/entity/Q971,Republic of the Congo,30,Gaitana
http://www.wikidata.org/entity/Q440273,http://www.wikidata.org/entity/Q9676,Isle of Man,30,Samantha Barks
http://www.wikidata.org/entity/Q231161,http://www.wikidata.org/entity/Q717,Venezuela,29,Gabriela Spanic
http://www.wikidata.org/entity/Q551576,http://www.wikidata.org/entity/Q1006,Guinea,29,Mory Kanté
http://www.wikidata.org/entity/Q28109988,http://www.wikidata.org/entity/Q730,Suriname,29,Jeangu Macrooy
http://www.wikidata.org/entity/Q356564,http://www.wikidata.org/entity/Q1334322,County of Toulouse,29,"Raymond VI, Count of Toulouse"
http://www.wikidata.org/entity/Q159117,http://www.wikidata.org/entity/Q1206012,German Reich,28,Ernst Busch
http://www.wikidata.org/entity/Q153040,http://www.wikidata.org/entity/Q733,Paraguay,28,Larissa Riquelme
http://www.wikidata.org/entity/Q399890,http://www.wikidata.org/entity/Q734,Guyana,28,Eddy Grant
http://www.wikidata.org/entity/Q307786,http://www.wikidata.org/entity/Q842810,Smara,27,Abd al-Halim Hafiz
http://www.wikidata.org/entity/Q1758790,http://www.wikidata.org/entity/Q786,Dominican Republic,27,Amelia Vega
http://www.wikidata.org/entity/Q1758790,http://www.wikidata.org/entity/Q42763,Santiago de los Caballeros,27,Amelia Vega
http://www.wikidata.org/entity/Q236034,http://www.wikidata.org/entity/Q228,Andorra,26,Susanne Georgi
http://www.wikidata.org/entity/Q452792,http://www.wikidata.org/entity/Q191077,Kingdom of Yugoslavia,26,Lola Novaković
http://www.wikidata.org/entity/Q266042,http://www.wikidata.org/entity/Q983,Equatorial Guinea,26,Concha Buika
http://www.wikidata.org/entity/Q1238247,http://www.wikidata.org/entity/Q207991,Pahlavi Dynasty,26,Mohammad-Reza Shajarian
http://www.wikidata.org/entity/Q1280772,http://www.wikidata.org/entity/Q130280,Estonian Soviet Socialist Republic,25,Georg Ots
http://www.wikidata.org/entity/Q357835,http://www.wikidata.org/entity/Q977566,Sub-Roman Britain,24,Taliesin
http://www.wikidata.org/entity/Q290902,http://www.wikidata.org/entity/Q172107,Polish–Lithuanian Commonwealth,24,Wojciech Bogusławski
http://www.wikidata.org/entity/Q526989,http://www.wikidata.org/entity/Q13426199,Republic of China,24,Mei Lanfang
http://www.wikidata.org/entity/Q526989,http://www.wikidata.org/entity/Q8733,Qing dynasty,24,Mei Lanfang
http://www.wikidata.org/entity/Q263170,http://www.wikidata.org/entity/Q1008,Côte d'Ivoire,23,Tiken Jah Fakoly
http://www.wikidata.org/entity/Q713461,http://www.wikidata.org/entity/Q22502,Taiwan,23,A-Mei
http://www.wikidata.org/entity/Q514898,http://www.wikidata.org/entity/Q547241,Hen Ogledd,22,Aneirin
http://www.wikidata.org/entity/Q561539,http://www.wikidata.org/entity/Q203817,First Bulgarian Empire,22,Roman of Bulgaria
http://www.wikidata.org/entity/Q395725,http://www.wikidata.org/entity/Q556263,Duchy of Brunswick-Lüneburg,22,Agostino Steffani
http://www.wikidata.org/entity/Q382901,http://www.wikidata.org/entity/Q115,Ethiopia,22,Mulatu Astatke
http://www.wikidata.org/entity/Q1131312,http://www.wikidata.org/entity/Q206411,Azerbaijan Democratic Republic,22,Bulbul
http://www.wikidata.org/entity/Q195522,http://www.wikidata.org/entity/Q889,Afghanistan,21,Ahmad Zahir
http://www.wikidata.org/entity/Q610701,http://www.wikidata.org/entity/Q1027,Mauritius,21,Havana Brown
http://www.wikidata.org/entity/Q918784,http://www.wikidata.org/entity/Q657,Chad,20,MC Solaar
http://www.wikidata.org/entity/Q1029363,http://www.wikidata.org/entity/Q32,Luxembourg,20,Camillo Felgen
http://www.wikidata.org/entity/Q1362223,http://www.wikidata.org/entity/Q796,Iraq,20,Kadim Al Sahir
http://www.wikidata.org/entity/Q1362223,http://www.wikidata.org/entity/Q846,Qatar,20,Kadim Al Sahir
http://www.wikidata.org/entity/Q1766092,http://www.wikidata.org/entity/Q858,Syria,20,Asmahan
http://www.wikidata.org/entity/Q957007,http://www.wikidata.org/entity/Q948,Tunisia,20,Dhafer Youssef
http://www.wikidata.org/entity/Q2353139,http://www.wikidata.org/entity/Q398,Bahrain,20,Assala Nasri
http://www.wikidata.org/entity/Q2353139,http://www.wikidata.org/entity/Q858,Syria,20,Assala Nasri
http://www.wikidata.org/entity/Q28058552,http://www.wikidata.org/entity/Q472834,Thai people,20,Santi Duangsawang
http://www.wikidata.org/entity/Q246818,http://www.wikidata.org/entity/Q12544,Byzantine Empire,19,John Kukuzelis
http://www.wikidata.org/entity/Q510568,http://www.wikidata.org/entity/Q1029,Mozambique,19,Afric Simone
http://www.wikidata.org/entity/Q1395127,http://www.wikidata.org/entity/Q736,Ecuador,19,Julio Jaramillo
http://www.wikidata.org/entity/Q1375928,http://www.wikidata.org/entity/Q42585,Kingdom of Bohemia,19,František Škroup
http://www.wikidata.org/entity/Q30201990,http://www.wikidata.org/entity/Q916,Angola,19,Pedro Fernando
http://www.wikidata.org/entity/Q287857,http://www.wikidata.org/entity/Q187035,Principality of Albania,19,Princess Sophie of Schönburg-Waldenburg
http://www.wikidata.org/entity/Q287857,http://www.wikidata.org/entity/Q203493,Kingdom of Romania,19,Princess Sophie of Schönburg-Waldenburg
http://www.wikidata.org/entity/Q207038,http://www.wikidata.org/entity/Q23681,Turkish Republic of Northern Cyprus,18,Ziynet Sali
http://www.wikidata.org/entity/Q984486,http://www.wikidata.org/entity/Q146885,Second Syrian Republic,18,Sabah Fakhri
http://www.wikidata.org/entity/Q1983423,http://www.wikidata.org/entity/Q244165,Republic of Artsakh,18,Vladimir Arzumanyan
http://www.wikidata.org/entity/Q17631505,http://www.wikidata.org/entity/Q1037,Rwanda,18,Kizito Mihigo
http://www.wikidata.org/entity/Q964746,http://www.wikidata.org/entity/Q303421,Kingdom of Galicia,18,Martín Codax
http://www.wikidata.org/entity/Q569049,http://www.wikidata.org/entity/Q878,United Arab Emirates,17,Ahlam Al Shamsi
http://www.wikidata.org/entity/Q913737,http://www.wikidata.org/entity/Q1036,Uganda,17,Geoffrey Oryema
http://www.wikidata.org/entity/Q758130,http://www.wikidata.org/.well-known/genid/93cec3c722d7d117ad775f7da0b03732,http://www.wikidata.org/.well-known/genid/93cec3c722d7d117ad775f7da0b03732,17,Attilio Ariosti
http://www.wikidata.org/entity/Q93068690,http://www.wikidata.org/entity/Q819,Laos,17,Ki Daophet Niuhuang
http://www.wikidata.org/entity/Q737833,http://www.wikidata.org/entity/Q210036,Chechen Republic of Ichkeria,17,Timur Mutsurayev
http://www.wikidata.org/entity/Q113007,http://www.wikidata.org/entity/Q347,Liechtenstein,16,Prince Hubertus of Hohenlohe-Langenburg
http://www.wikidata.org/entity/Q171817,http://www.wikidata.org/entity/Q863,Tajikistan,16,Manija Dawlat
http://www.wikidata.org/entity/Q2322314,http://www.wikidata.org/entity/Q1541813,County of Roussillon,16,Guillem de Cabestany
http://www.wikidata.org/entity/Q455308,http://www.wikidata.org/entity/Q967,Burundi,15,Khadja Nin
http://www.wikidata.org/entity/Q712093,http://www.wikidata.org/entity/Q1142927,Hongkongers,15,Lee Hoi-chuen
http://www.wikidata.org/entity/Q2736035,http://www.wikidata.org/entity/Q23792,Palestine,15,Rim Banna
http://www.wikidata.org/entity/Q3293004,http://www.wikidata.org/entity/Q6250,Western Sahara,15,Mariem Hassan
http://www.wikidata.org/entity/Q19508994,http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,15,Nive Nielsen
http://www.wikidata.org/entity/Q19508994,http://www.wikidata.org/entity/Q223,Greenland,15,Nive Nielsen
http://www.wikidata.org/entity/Q465517,http://www.wikidata.org/entity/Q1489,Mexico City,14,Elizabeth Avellán Ochoa
http://www.wikidata.org/entity/Q527741,http://www.wikidata.org/entity/Q954,Zimbabwe,14,Dorothy Masuka
http://www.wikidata.org/entity/Q543235,http://www.wikidata.org/entity/Q1274468,Republic of Bosnia and Herzegovina,14,Donna Ares
http://www.wikidata.org/entity/Q1775226,http://www.wikidata.org/entity/Q924,Tanzania,14,Bi Kidude
http://www.wikidata.org/entity/Q2831760,http://www.wikidata.org/entity/Q417370,España,14,Alberto Cortez
http://www.wikidata.org/entity/Q4221511,http://www.wikidata.org/entity/Q121932,People's Republic of Bulgaria,14,Bedros Kirkorov
http://www.wikidata.org/entity/Q6732616,http://www.wikidata.org/entity/Q33296,Mughal Empire,14,Mah Laqa Bai
http://www.wikidata.org/entity/Q1338331,http://www.wikidata.org/entity/Q1049,Sudan,13,Emmanuel Jal
http://www.wikidata.org/entity/Q2038818,http://www.wikidata.org/entity/Q18234383,Safavid Empire,13,Naghach Hovnatan
http://www.wikidata.org/entity/Q12240786,http://www.wikidata.org/entity/Q219060,State of Palestine,13,Mohammed Assaf
http://www.wikidata.org/entity/Q75803,http://www.wikidata.org/entity/Q153136,Habsburg Monarchy,12,Marianne von Willemer
http://www.wikidata.org/entity/Q79002,http://www.wikidata.org/entity/Q533534,Cisleithania,12,Irene Abendroth
http://www.wikidata.org/entity/Q652535,http://www.wikidata.org/entity/Q5613380,British National (Overseas),12,Agnes Chan
http://www.wikidata.org/entity/Q448800,http://www.wikidata.org/entity/Q29520,China,12,Li Lili
http://www.wikidata.org/entity/Q624121,http://www.wikidata.org/entity/Q503585,Korea under Japanese rule,12,Choi Seung-hee
http://www.wikidata.org/entity/Q891919,http://www.wikidata.org/entity/Q1032,Niger,12,Bombino
