country,countryLabel,leader,leaderLabel,age
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,http://www.wikidata.org/entity/Q86715481,Nuno Nabian,1966-11-17T00:00:00Z
http://www.wikidata.org/entity/Q1013,Lesotho,http://www.wikidata.org/entity/Q91621859,Moeketsi Majoro,1961-11-03T00:00:00Z
http://www.wikidata.org/entity/Q1025,Mauritania,http://www.wikidata.org/entity/Q98137599,Mohamed Ould Bilal,1963-12-10T00:00:00Z
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q99605101,Mohamed Hussein Roble,1963-10-01T00:00:00Z
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q105319569,Abdulhamid Dbeibeh,1958-01-01T00:00:00Z
http://www.wikidata.org/entity/Q948,Tunisia,http://www.wikidata.org/entity/Q108741355,Najla Bouden,1958-06-29T00:00:00Z
http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q39318,Naftali Bennett,1972-03-25T00:00:00Z
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q57373157,Maeen Abdulmalik Saeed,1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q298,Chile,http://www.wikidata.org/entity/Q306,Sebastián Piñera,1949-12-01T00:00:00Z
http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1058,Narendra Modi,1950-09-17T00:00:00Z
http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q5015,Mette Frederiksen,1977-11-19T00:00:00Z
http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q6279,Joe Biden,1942-11-20T00:00:00Z
http://www.wikidata.org/entity/Q148,People's Republic of China,http://www.wikidata.org/entity/Q18111,Li Keqiang,1955-07-01T00:00:00Z
http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q39259,Recep Tayyip Erdoğan,1954-02-26T00:00:00Z
http://www.wikidata.org/entity/Q657,Chad,http://www.wikidata.org/entity/Q57350,Idriss Déby,1952-06-18T00:00:00Z
http://www.wikidata.org/entity/Q786,Dominican Republic,http://www.wikidata.org/entity/Q57429,Danilo Medina,1951-11-10T00:00:00Z
http://www.wikidata.org/entity/Q574,Timor-Leste,http://www.wikidata.org/entity/Q57519,Taur Matan Ruak,1956-10-10T00:00:00Z
http://www.wikidata.org/entity/Q215,Slovenia,http://www.wikidata.org/entity/Q57627,Janez Janša,1958-09-17T00:00:00Z
http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q57641,Viktor Orbán,1963-05-31T00:00:00Z
