scientist,scientistLabel,sitelinks,country,countryLabel
http://www.wikidata.org/entity/Q3557313,Victor Fﾃｩnoux,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q5391634,Daniel Tyteca,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4054945,Sergey Abramov,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q4532585,Sergueﾃｯ Ernst,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q6169946,Jean-Pierre Rocroi,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q6291261,Josﾃｩ Achache,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q11929354,Jules Franﾃｧois Joubert,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15646092,Paul-Henri Gourdot,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q15979722,Jean Aubouin,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16027754,Eugﾃｨne Wollman,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16785359,Julien Thoulet,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16864579,Serge Renaud,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23883396,Renaud Piarroux,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23656499,Lﾃｩon Robel,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q23935082,Hﾃｩlﾃｨne Menegaldo,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q63431915,Yves Petroff,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q63790893,Renﾃｩ Moreau,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q86914210,Zahra Doumandji,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q95953232,Gilles Martin,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q97766674,Raymond Bastin,2,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q105943490,Mathilde Cannat,2,http://www.wikidata.org/entity/Q142,France
