0,1,2,3,4
-,-,-,,
Roger Federer,152,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
William Tell,66,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean-Luc Godard,88,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Romain Grosjean,52,Switzerland,,
-,-,-,,
-,-,-,,
Niklaus Wirth,53,Switzerland,,
-,-,-,,
-,-,-,,
Alain Delon,114,Switzerland,,
-,-,-,,
Kurt Wﾃｼthrich,52,Switzerland,,
-,-,-,,
Ivan Rakitiﾄ・E,76,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Werner Arber,53,Switzerland,,
-,-,-,,
Karl Alexander Mﾃｼller,61,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Simonetta Sommaruga,51,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Michel Mayor,64,Switzerland,,
Didier Queloz,60,Switzerland,,
Sepp Blatter,85,Switzerland,,
Granit Xhaka,55,Switzerland,,
-,-,-,,
-,-,-,,
Arnold Schwarzenegger,140,Austria,,
Felix Baumgartner,63,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Heinz Fischer,84,Austria,,
-,-,-,,
-,-,-,,
David Alaba,58,Austria,,
-,-,-,,
Klaus Ebner,86,Austria,,
-,-,-,,
-,-,-,,
Martin Weinek,74,Austria,,
-,-,-,,
Peter Handke,86,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Elfriede Jelinek,115,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Werner Faymann,63,Austria,,
-,-,-,,
"Hans-Adam II, Prince of Liechtenstein",72,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Christoph Waltz,74,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Gianni Infantino Riovaldi,65,Switzerland,,
Tina Turner,94,Switzerland,,
Martina Hingis,82,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Pontifical Swiss Guard,57,Switzerland,,
-,-,-,,
Philippe Senderos,51,Switzerland,,
-,-,-,,
Stan Wawrinka,65,Switzerland,,
-,-,-,,
-,-,-,,
Stephan Lichtsteiner,55,Switzerland,,
Ursula Andress,58,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Xherdan Shaqiri,67,Switzerland,,
Haris Seferovic,54,Switzerland,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Anna Netrebko,167,Austria,,
-,-,-,,
-,-,-,,
Alexander Van der Bellen,82,Austria,,
Michael Haneke,62,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Ivica Vastiﾄ・E,58,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Conchita Wurst,79,Austria,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Eric Kandel,54,Austria,,
-,-,-,,
-,-,-,,
Arvo Pﾃ､rt,65,Austria,,
-,-,-,,
-,-,-,,
Austrians,66,Austria,,
Ivana Trump,56,Austria,,
Sebastian Kurz,83,Austria,,
Alexander Schallenberg,56,Austria,,
Tom Hanks,118,Greece,,
-,-,-,,
Yanis Varoufakis,55,Greece,,
Patriarch Bartholomew of Constantinople,59,Greece,,
-,-,-,,
Antonis Samaras,55,Greece,,
Sakis Rouvas,51,Greece,,
-,-,-,,
Constantine II of Greece,63,Greece,,
Giorgos Papandreou,60,Greece,,
-,-,-,,
-,-,-,,
-,-,-,,
Vangelis,60,Greece,,
Nana Mouskouri,65,Greece,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Loukas Papademos,59,Greece,,
-,-,-,,
-,-,-,,
Helena Paparizou,57,Greece,,
Giorgos Karagounis,53,Greece,,
Sokratis Papastathopoulos,53,Greece,,
Giorgos Samaras,52,Greece,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Avraam Papadopoulos,51,Greece,,
Alexis Tsipras,90,Greece,,
-,-,-,,
Kyriakos Mitsotakis,60,Greece,,
Prokopis Pavlopoulos,62,Greece,,
Giannis Antetokounmpo,53,Greece,,
Katerina Sakellaropoulou,55,Greece,,
-,-,-,,
Recep Tayyip Erdoﾄ・Ean,160,Turkey,,
Abdullah Gﾃｼl,106,Turkey,,
Hamit Altﾄｱntop,53,Turkey,,
Patriarch Bartholomew of Constantinople,59,Turkey,,
Ahmet Davutoﾄ・Elu,84,Turkey,,
Hande Yener,79,Turkey,,
Mesut ﾃ・Ezil,93,Turkey,,
Dani Rodrik,64,Turkey,,
Binali Yﾄｱldﾄｱrﾄｱm,66,Turkey,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Ahmet Necdet Sezer,68,Turkey,,
-,-,-,,
Mehmet Ali Aﾄ・Eca,54,Turkey,,
-,-,-,,
-,-,-,,
Abdullah ﾃ・Ecalan,62,Turkey,,
-,-,-,,
Hakan ﾅ・Eﾃｼkﾃｼr,54,Turkey,,
Sertab Erener,51,Turkey,,
-,-,-,,
Rﾃｼﾅ・Etﾃｼ Reﾃｧber,51,Turkey,,
-,-,-,,
Tansu ﾃ・Eiller,68,Turkey,,
-,-,-,,
-,-,-,,
Orhan Pamuk,129,Turkey,,
-,-,-,,
Beren Saat,54,Turkey,,
Elif ﾅ・Eafak,63,Turkey,,
-,-,-,,
ﾄｰlhan Mansﾄｱz,54,Turkey,,
Alpay ﾃ・Ezalan,51,Turkey,,
-,-,-,,
Tarkan,59,Turkey,,
Arda Turan,67,Turkey,,
Fethullah Gﾃｼlen,76,Turkey,,
Aziz Sancar,67,Turkey,,
-,-,-,,
-,-,-,,
-,-,-,,
Zinedine Zidane,130,France,,
Laurent Blanc,57,France,,
Hugo Lloris,73,France,,
Mathieu Debuchy,52,France,,
Adil Rami,54,France,,
Olivier Giroud,79,France,,
Karim Benzema,94,France,,
Florent Malouda,59,France,,
Laurent Koscielny,53,France,,
Patrice Evra,68,France,,
Philippe Mexﾃｨs,52,France,,
Franck Ribﾃｩry,84,France,,
Mathieu Valbue,53,France,,
Samir Nasri,63,France,,
Blaise Matuidi,59,France,,
Steve Mandanda,55,France,,
Hatem Ben Arfa,51,France,,
Gaﾃｫl Clichy,52,France,,
Eric Abidal,63,France,,
Djibril Cissﾃｩ,52,France,,
William Gallas,57,France,,
Bacary Sagna,64,France,,
Nicolas Anelka,66,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Michel Platini,97,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean-Luc Mﾃｩlenchon,55,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean-Marie Le Pen,72,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean-Marc Ayrault,67,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
David Guetta,84,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Marion Cotillard,83,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Manuel Valls,73,France,,
Alain Prost,68,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Marine Le Pen,104,France,,
Alexandre Lacazette,52,France,,
Samuel Umtiti,64,France,,
Jean-Pierre Papin,56,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean Tirole,62,France,,
-,-,-,,
-,-,-,,
Boris Spassky,72,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Lilian Thuram,70,France,,
-,-,-,,
Amﾃｩlie Mauresmo,67,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
David Trezeguet,67,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Claude Makﾃｩlﾃｩlﾃｩ,55,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Mylﾃｨne Farmer,51,France,,
-,-,-,,
-,-,-,,
Gaﾃｫl Monfils,52,France,,
-,-,-,,
Lionel Jospin,61,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Alex Song,52,France,,
Jean Dujardin,65,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Claude Cohen-Tannoudji,64,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Fabien Barthez,59,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Eva Green,82,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Just Fontaine,56,France,,
-,-,-,,
Tony Parker,55,France,,
-,-,-,,
Goran Bregoviﾄ・E,54,France,,
-,-,-,,
Vincent Cassel,56,France,,
Marcel Desailly,58,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Milan Kundera,101,France,,
-,-,-,,
-,-,-,,
Emir Kusturica,75,France,,
-,-,-,,
Franﾃｧois Fillon,82,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Michel Houellebecq,76,France,,
Luc Montagnier,65,France,,
Franﾃｧoise Barrﾃｩ-Sinoussi,76,France,,
-,-,-,,
Jean-Michel Jarre,67,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Christopher Lambert,55,France,,
-,-,-,,
-,-,-,,
Jules Hoffmann,51,France,,
Marion Bartoli,57,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean-Louis Trintignant,51,France,,
-,-,-,,
Juliette Binoche,75,France,,
Daniel Auteuil,52,France,,
Isabelle Huppert,67,France,,
Isabelle Adjani,75,France,,
Catherine Deneuve,83,France,,
-,-,-,,
Emmanuelle Bﾃｩart,51,France,,
-,-,-,,
Gﾃｩrard Depardieu,93,France,,
Alain Delon,114,France,,
Abdoulaye Wade,53,France,,
Serge Haroche,59,France,,
Julie Delpy,52,France,,
Robert Pires,53,France,,
Amin Maalouf,70,France,,
French,101,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Paul Pogba,86,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Dominique de Villepin,74,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Carla Bruni,72,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Pavel Durov,52,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Gao Xingjian,102,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Adrien Rabiot,51,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Michel Hazanavicius,55,France,,
-,-,-,,
Avril Lavigne,133,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Brigitte Bardot,130,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jean-Marie Gustave Le Clﾃｩzio,97,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Sophia Loren,119,France,,
-,-,-,,
Jean Reno,79,France,,
-,-,-,,
-,-,-,,
Bixente Lizarazu,57,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Pierre-Emerick Aubameyang,62,France,,
-,-,-,,
Thierry Henry,95,France,,
-,-,-,,
Patrick Vieira,66,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Arsﾃｨne Wenger,89,France,,
Didier Drogba,80,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Vanessa Paradis,66,France,,
-,-,-,,
Roman Polanski,101,France,,
-,-,-,,
-,-,-,,
Jean-Luc Godard,88,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Albert Fert,72,France,,
-,-,-,,
-,-,-,,
Jacques Delors,54,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Julia Kristeva,65,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Sophie Marceau,73,France,,
-,-,-,,
Olga Kurylenko,59,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Zaz,51,France,,
Alizﾃｩe,61,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Eric Cantona,75,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Kristin Scott Thomas,52,France,,
-,-,-,,
Thiago Silva,69,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Jane Birkin,51,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Alain Juppﾃｩ,52,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Laurent Fabius,58,France,,
Jean-Pierre Jeunet,54,France,,
Youri Djorkaeff,53,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Anggun,147,France,,
Patrick Modiano,96,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Anouk Aimﾃｩe,54,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
ﾃ・Edith Cresson,51,France,,
Lﾃｩa Seydoux,58,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Yo-Yo Ma,57,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Roger Guillemin,53,France,,
-,-,-,,
-,-,-,,
Catalan people,55,France,,
-,-,-,,
-,-,-,,
Xanana Gusmﾃ｣o,57,Portugal,,
Cristiano Ronaldo,169,Portugal,,
Josﾃｩ Manuel Durﾃ｣o Barroso,79,Portugal,,
-,-,-,,
Zico,72,Portugal,,
Josﾃｩ Eduardo dos Santos,76,Portugal,,
Anﾃｭbal Cavaco Silva,66,Portugal,,
Josﾃｩ Mourinho,99,Portugal,,
Nelly Furtado,85,Portugal,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Roman Abramovich,59,Portugal,,
-,-,-,,
-,-,-,,
Raul Meireles,57,Portugal,,
Portuguese,72,Portugal,,
Josﾃｩ Sﾃｳcrates,54,Portugal,,
Paulo Ferreira,53,Portugal,,
Ricardo Quaresma,63,Portugal,,
Rui Costa,54,Portugal,,
-,-,-,,
Bruno Alves,61,Portugal,,
-,-,-,,
Hﾃｩlder Postiga,52,Portugal,,
-,-,-,,
Joﾃ｣o Moutinho,56,Portugal,,
-,-,-,,
Rui Patrﾃｭcio,58,Portugal,,
Antﾃｳnio Guterres,116,Portugal,,
Philippe Coutinho,74,Portugal,,
-,-,-,,
Nani,72,Portugal,,
Luﾃｭs Figo,75,Portugal,,
Fﾃ｡bio Coentrﾃ｣o,63,Portugal,,
Pepe,73,Portugal,,
Ricardo Carvalho,64,Portugal,,
Antﾃｳnio Costa,62,Portugal,,
Deco,68,Portugal,,
-,-,-,,
Marcelo Rebelo de Sousa,61,Portugal,,
Renato Sanches,54,Portugal,,
Salvador Sobral,65,Portugal,,
-,-,-,,
-,-,-,,
-,-,-,,
Emmanuel Petit,51,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Franﾃｧois Hollande,211,France,,
-,-,-,,
-,-,-,,
Nicolas Sarkozy,180,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Andrei Konchalovsky,57,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Diane Kruger,77,France,,
-,-,-,,
-,-,-,,
Ismail Omar Guelleh,55,France,,
Denis Sassou-Nguesso,74,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Moussa Sissoko,53,France,,
-,-,-,,
Jean-Pierre Raffarin,51,France,,
-,-,-,,
-,-,-,,
-,-,-,,
Mireille Mathieu,65,France,,
Lucas Digne,52,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Sﾃｩgolﾃｨne Royal,79,France,,
-,-,-,,
-,-,-,,
Romain Grosjean,52,France,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
David Gilmour,72,United Kingdom,,
-,-,-,,
Kate Beckinsale,76,United Kingdom,,
-,-,-,,
Draco Malfoy,58,United Kingdom,,
-,-,-,,
Boris Johnson,131,United Kingdom,,
Tom Jones,61,United Kingdom,,
Roger Waters,73,United Kingdom,,
Peter Crouch,55,United Kingdom,,
Andrew Lloyd Webber,64,United Kingdom,,
Brian David Josephson,67,United Kingdom,,
Julie Christie,67,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Glenda Jackson,63,United Kingdom,,
-,-,-,,
-,-,-,,
Rod Stewart,71,United Kingdom,,
-,-,-,,
Clive Owen,55,United Kingdom,,
David Attenborough,80,United Kingdom,,
-,-,-,,
-,-,-,,
Leona Lewis,53,United Kingdom,,
-,-,-,,
Andrew Wiles,63,United Kingdom,,
-,-,-,,
Gareth Bale,87,United Kingdom,,
Jane Goodall,84,United Kingdom,,
-,-,-,,
Joe Cole,53,United Kingdom,,
-,-,-,,
Jim Broadbent,53,United Kingdom,,
-,-,-,,
Olivia Newton-John,59,United Kingdom,,
Glen Johnson,56,United Kingdom,,
Mark Knopfler,58,United Kingdom,,
-,-,-,,
Mike Myers,82,United Kingdom,,
Mika,54,United Kingdom,,
Joe Hart,61,United Kingdom,,
Kenny Dalglish,58,United Kingdom,,
Howard Webb,51,United Kingdom,,
Leighton Baines,60,United Kingdom,,
-,-,-,,
Danny Welbeck,62,United Kingdom,,
Sebastian Coe,56,United Kingdom,,
Thom Yorke,61,United Kingdom,,
-,-,-,,
Jermain Defoe,55,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Keith Richards,76,United Kingdom,,
-,-,-,,
Nick Clegg,52,United Kingdom,,
-,-,-,,
Jamie Oliver,53,United Kingdom,,
-,-,-,,
Bruce Dickinson,67,United Kingdom,,
Philip Pullman,73,United Kingdom,,
John Paul Jones,51,United Kingdom,,
-,-,-,,
Ian McEwan,59,United Kingdom,,
-,-,-,,
Matt Bellamy,55,United Kingdom,,
-,-,-,,
-,-,-,,
Ronnie O'Sullivan,57,United Kingdom,,
-,-,-,,
Sean Bean,68,United Kingdom,,
James Milner,58,United Kingdom,,
Emile Heskey,52,United Kingdom,,
-,-,-,,
Gareth Barry,53,United Kingdom,,
-,-,-,,
Steve Harris,52,United Kingdom,,
John Deacon,58,United Kingdom,,
Peter Higgs,77,United Kingdom,,
-,-,-,,
Ritchie Blackmore,54,United Kingdom,,
David Trimble,56,United Kingdom,,
-,-,-,,
Anthony James Leggett,65,United Kingdom,,
-,-,-,,
Stephen Fry,61,United Kingdom,,
Guy Ritchie,60,United Kingdom,,
-,-,-,,
-,-,-,,
Sienna Miller,63,United Kingdom,,
Noel Gallagher,58,United Kingdom,,
Emily Blunt,87,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
John Gurdon,53,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Cliff Richard,53,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
John Terry,75,United Kingdom,,
Gary Oldman,93,United Kingdom,,
Susan Boyle,74,United Kingdom,,
Danny Rose,52,United Kingdom,,
Wes Brown,52,United Kingdom,,
-,-,-,,
-,-,-,,
Armen Sarkissian,70,United Kingdom,,
Luke Shaw,61,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Kiefer Sutherland,68,United Kingdom,,
Andre Geim,67,United Kingdom,,
-,-,-,,
-,-,-,,
Norman Foster,61,United Kingdom,,
-,-,-,,
Bonnie Wright,54,United Kingdom,,
Catherine Ashton,58,United Kingdom,,
Tom Felton,57,United Kingdom,,
-,-,-,,
Konstantin Novoselov,66,United Kingdom,,
John Lydon,56,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
David Coverdale,52,United Kingdom,,
Malcolm McDowell,80,United Kingdom,,
Robin Hood,88,United Kingdom,,
-,-,-,,
Michael Caine,99,United Kingdom,,
-,-,-,,
Mick Jagger,94,United Kingdom,,
-,-,-,,
Michael Owen,73,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Hugh Jackman,100,United Kingdom,,
-,-,-,,
James Blunt,68,United Kingdom,,
-,-,-,,
Naomi Watts,86,United Kingdom,,
-,-,-,,
-,-,-,,
Ozzy Osbourne,81,United Kingdom,,
-,-,-,,
Ashley Cole,67,United Kingdom,,
Banksy,64,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Nawaz Sharif,77,United Kingdom,,
Rachel Weisz,79,United Kingdom,,
-,-,-,,
Danny Boyle,70,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
Phil Collins,83,United Kingdom,,
-,-,-,,
-,-,-,,
Annie Lennox,62,United Kingdom,,
-,-,-,,
"Anne, Princess Royal",60,United Kingdom,,
Sarah Brightman,51,United Kingdom,,
Melanie C,51,United Kingdom,,
-,-,-,,
Tim Berners-Lee,146,United Kingdom,,
Jimmy Wales,210,United Kingdom,,
David Cameron,142,United Kingdom,,
Kate Bush,61,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Paul McCartney,137,United Kingdom,,
Ringo Starr,106,United Kingdom,,
-,-,-,,
Elton John,102,United Kingdom,,
Mike Oldfield,52,United Kingdom,,
Jackie Stewart,64,United Kingdom,,
-,-,-,,
-,-,-,,
Daniel Craig,97,United Kingdom,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
-,-,-,,
Salman Khan,92,United Kingdom,,
Tony Blair,144,United Kingdom,,
Katrina Kaif,73,United Kingdom,,
John Major,93,United Kingdom,,
-,-,-,,
Lewis Hamilton,94,United Kingdom,,
Elizabeth II,211,United Kingdom,,
-,-,-,,
Andy Murray,84,United Kingdom,,
"Catherine, Duchess of Cambridge",96,United Kingdom,,
Nigel Mansell,53,United Kingdom,,
Damon Hill,56,United Kingdom,,
Jenson Button,70,United Kingdom,,
David Beckham,127,United Kingdom,,
Ryan Giggs,81,United Kingdom,,
Ashley Young,67,United Kingdom,,
-,-,-,,
Gordon Brown,122,United Kingdom,,
Alex Salmond,59,United Kingdom,,
-,-,-,,
Kylie Minogue,107,United Kingdom,,
-,-,-,,
-,-,-,,
Paul Gascoigne,54,United Kingdom,,
Jack Wilshere,60,United Kingdom,,
Gordon Ramsay,52,United Kingdom,,
-,-,-,,
Brian May,86,United Kingdom,,
