,country,number,item,item_id,shortform,pageid,wikidata_description
916,Dominican Republic,14.0,Ramón Cáceres,http://www.wikidata.org/entity/Q887594,wd:Q887594,22491510,President of the Dominican Republic (1866-1911)
917,Dominican Republic,13.0,Pedro Henríquez Ureña,http://www.wikidata.org/entity/Q1153831,wd:Q1153831,10035003,Dominican Republic writer (1884-1946)
918,Dominican Republic,13.0,Horacio Vásquez,http://www.wikidata.org/entity/Q436482,wd:Q436482,754121,President of the Dominican Republic (1860-1936)
919,Dominican Republic,12.0,Manuel Jimenes,http://www.wikidata.org/entity/Q880165,wd:Q880165,26273985,President of the Dominican Republic (1808-1854)
920,Dominican Republic,12.0,Matías Ramón Mella Ñema,http://www.wikidata.org/entity/Q59885,wd:Q59885,2495772,Dominican Republic politician (1816-1864)
921,Dominican Republic,11.0,Cesareo Guillermo,http://www.wikidata.org/entity/Q887829,wd:Q887829,19593578,President of the Dominican Republic (1847-1885)
922,Dominican Republic,11.0,Fernando Arturo de Meriño,http://www.wikidata.org/entity/Q437144,wd:Q437144,26274347,President of the Dominican Republic (1833-1906)
923,Dominican Republic,11.0,Ramfis Trujillo,http://www.wikidata.org/entity/Q2680974,wd:Q2680974,3258432,Dominican Republic general
924,Ecuador,65.0,Atahualpa,http://www.wikidata.org/entity/Q179577,wd:Q179577,453778,ruler of the Inca Empire
925,Ecuador,33.0,Juan José Flores,http://www.wikidata.org/entity/Q554933,wd:Q554933,1096223,1.° presidente de la República del Ecuador
926,Venezuela,33.0,Juan José Flores,http://www.wikidata.org/entity/Q554933,wd:Q554933,1096223,1.° presidente de la República del Ecuador
927,Ecuador,32.0,Huayna Capacaca,http://www.wikidata.org/entity/Q311433,wd:Q311433,453929,11th Sapa Inca who expanded the Inca Empire to its greatest size
928,Ecuador,28.0,Gabriel García Moreno,http://www.wikidata.org/entity/Q434730,wd:Q434730,1522469,President of Ecuador (1860 - 1865) / (1869) / (1869 - 1875)
929,Ecuador,27.0,Manuela Saenz,http://www.wikidata.org/entity/Q372074,wd:Q372074,1958847,Ecuadorian revolutionary heroine (1797-1856)
930,Ecuador,26.0,Eloy Alfaro Delgado,http://www.wikidata.org/entity/Q378158,wd:Q378158,229008,President of Ecuador (1895 - 1901) / (1906 - 1911)
931,Ecuador,24.0,José Joaquín de Olmedo,http://www.wikidata.org/entity/Q981503,wd:Q981503,2241341,"Ecuadorian lawyer, writer and politician. Vicepresident of Ecuador (1780-1847)"
932,Ecuador,20.0,Vicente Rocafuerte,http://www.wikidata.org/entity/Q879030,wd:Q879030,2241338,President of the Republic of Ecuador (1834 - 1839)
933,Ecuador,19.0,Antonio Flores Jijón,http://www.wikidata.org/entity/Q601975,wd:Q601975,2241378,President of Ecuador (1888 - 1892)
934,Ecuador,18.0,Vicente Ramón Roca,http://www.wikidata.org/entity/Q2608842,wd:Q2608842,2241340,President of Ecuador (1845 - 1849)
935,Ecuador,18.0,Luis Cordero Crespo,http://www.wikidata.org/entity/Q889119,wd:Q889119,2241383,President of Ecuador (1892 - 1895)
936,Ecuador,17.0,Ignacio de Veintemilla,http://www.wikidata.org/entity/Q2943435,wd:Q2943435,2241372,President of Ecuador (1876 - 1883)
937,Ecuador,17.0,Carlos Julio Arosemena Tola,http://www.wikidata.org/entity/Q338942,wd:Q338942,2241425,President of Ecuador (1947 - 1948)
938,Ecuador,17.0,Alfredo Baquerizo Moreno,http://www.wikidata.org/entity/Q2026643,wd:Q2026643,2241392,President of Ecuador (1912) / (1916 - 1920) / (1931 - 1932)
939,Ecuador,17.0,Carlos Arroyo,http://www.wikidata.org/entity/Q888866,wd:Q888866,2241415,President of Ecuador (1939) / (1940 - 1944)
940,Ecuador,17.0,Leónidas Plaza,http://www.wikidata.org/entity/Q936939,wd:Q936939,764538,President of Ecuador (1901 - 1906) / (1912 - 1916)
941,Ecuador,16.0,Aurelio Mosquera Narváez,http://www.wikidata.org/entity/Q253787,wd:Q253787,2241414,President of Ecuador (1938 - 1939)
942,Ecuador,16.0,Mariana de Jesús de Paredes,http://www.wikidata.org/entity/Q455299,wd:Q455299,11468917,Mariana de Jesus
943,Egypt,142.0,Cleopatra,http://www.wikidata.org/entity/Q635,wd:Q635,60827,last active pharaoh of Ptolemaic Egypt
944,Egypt,128.0,Ptolemy,http://www.wikidata.org/entity/Q34943,wd:Q34943,23979,Greco-Egyptian writer and astronomer of Alexandria
945,Egypt,111.0,Gamal Abdel Nasser,http://www.wikidata.org/entity/Q39524,wd:Q39524,51879,second president of Egypt (1918-1970)
946,Egypt,103.0,Tutankhamon,http://www.wikidata.org/entity/Q12154,wd:Q12154,30437,14th century BCE (18th dynasty) Egyptian pharaoh
947,Egypt,101.0,Hypatia,http://www.wikidata.org/entity/Q11903,wd:Q11903,38375,Greek Neoplatonist philosopher
948,Egypt,101.0,Akhenaten,http://www.wikidata.org/entity/Q81794,wd:Q81794,89728,18th dynasty pharaoh
949,Egypt,96.0,Nefertiti,http://www.wikidata.org/entity/Q40930,wd:Q40930,90050,"Egyptian queen and Great Royal Wife (chief consort) of Akhenaten, an Egyptian Pharaoh"
950,Egypt,84.0,Hatshepsut,http://www.wikidata.org/entity/Q129234,wd:Q129234,60832,Egyptian Pharaoh
951,Egypt,80.0,Origen,http://www.wikidata.org/entity/Q170472,wd:Q170472,22702,"3rd-century Christian scholar, ascetic and theologian from Alexandria"
952,Egypt,77.0,Anthony the Great,http://www.wikidata.org/entity/Q170547,wd:Q170547,3246,Egyptian Christian monk and hermit (died 356)
953,Egypt,73.0,Athanasios of Alexandria,http://www.wikidata.org/entity/Q44024,wd:Q44024,3225,Patriarch of Alexandria
954,Egypt,73.0,Hero of Alexandria,http://www.wikidata.org/entity/Q161853,wd:Q161853,68274,ancient Greek mathematician and engineer
955,Egypt,73.0,Diofantos,http://www.wikidata.org/entity/Q178217,wd:Q178217,9110,Alexandrian Greek mathematician (3rd century)
956,Egypt,71.0,Imhotep,http://www.wikidata.org/entity/Q131171,wd:Q131171,14980,"Egyptian polymath, later revered as a god"
957,Egypt,69.0,Cyril of Alexandria,http://www.wikidata.org/entity/Q44079,wd:Q44079,7383,Pope of Alexandria from 412 to 444
958,Egypt,69.0,Philo of Alexandria,http://www.wikidata.org/entity/Q189597,wd:Q189597,210191,Hellenistic Jewish philosopher who lived in Alexandria (c. 20 BCE-c. 50 CE)
959,Egypt,64.0,Filippo Tommaso Marinetti,http://www.wikidata.org/entity/Q216582,wd:Q216582,11801,"Italian poet and editor, founder of the Futurist movement (1876-1944)"
960,Egypt,63.0,Amenhotep III,http://www.wikidata.org/entity/Q42606,wd:Q42606,253776,ninth Pharaoh of the Eighteenth dynasty of Egypt
961,Egypt,63.0,Konstantinos P. Cavafy,http://www.wikidata.org/entity/Q216980,wd:Q216980,729945,Greek poet
962,Egypt,62.0,Seti I,http://www.wikidata.org/entity/Q157918,wd:Q157918,237521,The second pharaoh of Ancient Egypt's 19th dynasty
963,El Salvador,32.0,Francisco Morazán,http://www.wikidata.org/entity/Q332111,wd:Q332111,219204,President of Federal Republic of Centroamerica (1830-1839)
964,Honduras,32.0,Francisco Morazán,http://www.wikidata.org/entity/Q332111,wd:Q332111,219204,President of Federal Republic of Centroamerica (1830-1839)
965,El Salvador,28.0,Maximiliano Hernández Martínez,http://www.wikidata.org/entity/Q319419,wd:Q319419,1678526,president of El Salvador (1878-1966)
966,El Salvador,21.0,Farabundo Martí,http://www.wikidata.org/entity/Q472486,wd:Q472486,1012591,Salvadoran revolutionary (1893-1932)
967,El Salvador,19.0,Juan Lindo y Zelaya,http://www.wikidata.org/entity/Q718333,wd:Q718333,1649853,President of Honduras and El Salvador (1790-1857)
968,Honduras,19.0,Juan Lindo y Zelaya,http://www.wikidata.org/entity/Q718333,wd:Q718333,1649853,President of Honduras and El Salvador (1790-1857)
969,El Salvador,17.0,Prudencia Ayala,http://www.wikidata.org/entity/Q3408576,wd:Q3408576,15310144,Salvadoran author and social activist
970,El Salvador,17.0,Óscar Osorio,http://www.wikidata.org/entity/Q293400,wd:Q293400,2234771,Salvadoran politician and military official (1910-1969)
971,El Salvador,16.0,Rafael Zaldívar,http://www.wikidata.org/entity/Q887758,wd:Q887758,2234655,President of El Salvador (1834-1903)
972,El Salvador,15.0,Romualdo Pacheco,http://www.wikidata.org/entity/Q425949,wd:Q425949,651159,Governor of California (1831-1899)
973,El Salvador,15.0,Tomás Regalado,http://www.wikidata.org/entity/Q887447,wd:Q887447,2234678,President of El Salvador (1861-1906)
974,El Salvador,14.0,Fernando Figueroa,http://www.wikidata.org/entity/Q433234,wd:Q433234,2234683,President of El Salvador (1849-1919)
975,El Salvador,13.0,Roberto Rivas,http://www.wikidata.org/entity/Q3939102,wd:Q3939102,18374652,Salvadoran footballer (1941-1972)
976,El Salvador,13.0,Alfonso Quiñónez Molina,http://www.wikidata.org/entity/Q887450,wd:Q887450,2234743,President of El Salvador (1874-1950)
977,El Salvador,13.0,Andrés Ignacio Menéndez,http://www.wikidata.org/entity/Q524333,wd:Q524333,2234756,President of El Salvador (1879-1962)
978,El Salvador,13.0,Gerardo Barrios,http://www.wikidata.org/entity/Q671414,wd:Q671414,2234645,Salvadoran politician (1813-1865)
979,El Salvador,13.0,Manuel Enrique Araujo,http://www.wikidata.org/entity/Q887302,wd:Q887302,2234690,President of El Salvador (1865-1913)
