0,1,2,3,4,5
Georgia,"1,461",908,6,4,Armenia: 164ﾂkm (102ﾂmi)ﾂAzerbaijan: 322ﾂkm (200ﾂmi)ﾂRussia: 723ﾂkm (449ﾂmi)ﾂTurkey: 252ﾂkm (157ﾂmi)ﾂAbkhazia: 141ﾂkm (88ﾂmi)ﾂSouth Ossetia: 334ﾂkm (208ﾂmi)
Germany,"3,621","2,250",15,9,Austria: 784ﾂkm (487ﾂmi)ﾂBelgium (6):[12] 167ﾂkm (104ﾂmi)ﾂCzech Republic: 815ﾂkm (506ﾂmi)[23]ﾂDenmark: 68ﾂkm (42ﾂmi)ﾂFrance: 451ﾂkm (280ﾂmi)ﾂLuxembourg: 138ﾂkm (86ﾂmi)ﾂNetherlands: 577ﾂkm (359ﾂmi)ﾂPoland: 456ﾂkm (283ﾂmi)ﾂﾂSwitzerland (2):[30] 334ﾂkm (208ﾂmi)
Ghana,"2,094","1,301",3,3,Burkina Faso: 549ﾂkm (341ﾂmi)ﾂCﾃｴte d'Ivoire: 668ﾂkm (415ﾂmi)ﾂTogo: 877ﾂkm (545ﾂmi)
Greece,"1,228",763,4,4,Albania: 282ﾂkm (175ﾂmi)ﾂBulgaria: 494ﾂkm (307ﾂmi)ﾂTurkey: 206ﾂkm (128ﾂmi)ﾂNorth Macedonia: 246ﾂkm (153ﾂmi)
Grenada,0,0,0,0,
Guatemala,"1,687","1,048",4,4,Belize: 266ﾂkm (165ﾂmi)ﾂEl Salvador: 203ﾂkm (126ﾂmi)ﾂHonduras: 256ﾂkm (159ﾂmi)ﾂMexico: 962ﾂkm (598ﾂmi)
Guinea,"3,399","2,112",6,6,Cﾃｴte d'Ivoire: 610ﾂkm (380ﾂmi)ﾂGuinea-Bissau: 386ﾂkm (240ﾂmi)ﾂLiberia: 563ﾂkm (350ﾂmi)ﾂMali: 858ﾂkm (533ﾂmi)ﾂSenegal: 330ﾂkm (210ﾂmi)ﾂSierra Leone: 652ﾂkm (405ﾂmi)
Guinea,724,450,2,2,Guinea: 386ﾂkm (240ﾂmi)ﾂSenegal: 338ﾂkm (210ﾂmi)
Guyana,"2,462","1,530",3,3,"Brazil: 1,119ﾂkm (695ﾂmi)ﾂSuriname: 600ﾂkm (370ﾂmi)ﾂVenezuela: 743ﾂkm (462ﾂmi)"
Haiti,360,220,1,1,Dominican Republic: 360ﾂkm (220ﾂmi)
Honduras,"1,520",940,3,3,Guatemala: 256ﾂkm (159ﾂmi)ﾂEl Salvador: 342ﾂkm (213ﾂmi)ﾂNicaragua: 922ﾂkm (573ﾂmi)
Hong Kong[18],30,19,1,1,People's Republic of China: 30ﾂkm (19ﾂmi)
Hungary,"2,171","1,349",7,7,Austria: 366ﾂkm (227ﾂmi)ﾂCroatia: 329ﾂkm (204ﾂmi)ﾂRomania: 443ﾂkm (275ﾂmi)ﾂSerbia: 151ﾂkm (94ﾂmi)ﾂSlovakia: 677ﾂkm (421ﾂmi)ﾂSlovenia: 102ﾂkm (63ﾂmi)ﾂUkraine: 103ﾂkm (64ﾂmi)
Iceland,0,0,0,0,
India,"14,209","8,829",10,7,"Bangladesh: 4,053ﾂkm (2,518ﾂmi)ﾂBhutan: 605ﾂkm (376ﾂmi)ﾂPeople's Republic of China: 3,380ﾂkm (2,100ﾂmi)ﾂMyanmar: 1,463ﾂkm (909ﾂmi)ﾂﾂﾂNepal: 1,690ﾂkm (1,050ﾂmi)ﾂPakistan: 2,912ﾂkm (1,809ﾂmi)ﾂSri Lanka: 0.045ﾂkm (0.028ﾂmi) on a land shoal on  Ram Setu,[31] see also Borders of India."
Indonesia,"2,830","1,760",4,3,"East Timor (2): 228ﾂkm (142ﾂmi)ﾂMalaysia: 1,782ﾂkm (1,107ﾂmi)ﾂPapua New Guinea: 820ﾂkm (510ﾂmi)"
Iran,"5,440","3,380",8,7,"Afghanistan: 936ﾂkm (582ﾂmi)ﾂArmenia: 35ﾂkm (22ﾂmi)ﾂAzerbaijan (2):[9] 432ﾂkm (268ﾂmi)ﾂIraq: 1,458ﾂkm (906ﾂmi)ﾂPakistan: 909ﾂkm (565ﾂmi)ﾂTurkey: 499ﾂkm (310ﾂmi)ﾂTurkmenistan: 992ﾂkm (616ﾂmi)"
Iraq,"3,650","2,270",6,6,"Iran: 1,458ﾂkm (906ﾂmi)ﾂJordan: 181ﾂkm (112ﾂmi)ﾂKuwait: 240ﾂkm (150ﾂmi)ﾂSaudi Arabia: 814ﾂkm (506ﾂmi)ﾂSyria: 605ﾂkm (376ﾂmi)ﾂTurkey: 352ﾂkm (219ﾂmi)"
Ireland,499,310,1,1,United Kingdom: 499ﾂkm (310ﾂmi)
