,country,number,item,item_id,shortform,pageid,wikidata_description
199,Turkmenistan,32,Elnur Hüseynov,http://www.wikidata.org/entity/Q336062,wd:Q336062,15557526,Azerbaijani singer
200,Azerbaijan,31,Dilara Kazimova,http://www.wikidata.org/entity/Q12838571,wd:Q12838571,42076573,Azerbaijani singer and actress
201,Azerbaijan,31,Samra Rahimli,http://www.wikidata.org/entity/Q23024178,wd:Q23024178,49718489,Azerbaijani singer
202,Azerbaijan,31,Aziza Mustafa Zadeh,http://www.wikidata.org/entity/Q234304,wd:Q234304,630872,Azerbaijani singer
203,Azerbaijan,30,Diana Hacıyeva,http://www.wikidata.org/entity/Q16366466,wd:Q16366466,52480422,Azerbaijani singer-songwriter
204,Azerbaijan,29,Aisel,http://www.wikidata.org/entity/Q42848278,wd:Q42848278,55745109,Azeri singer
205,Azerbaijan,24,Emin Agalarov,http://www.wikidata.org/entity/Q983419,wd:Q983419,30971825,Azerbaijani pop singer
206,Azerbaijan,23,Bulbul,http://www.wikidata.org/entity/Q1131312,wd:Q1131312,3861609,Azerbaijani singer (1897-1961)
207,Azerbaijan,23,Polad Bülbüloğlu,http://www.wikidata.org/entity/Q112651,wd:Q112651,18231748,"Azerbaijani singer, actor and politician"
208,Azerbaijan,22,Samir Javadzadeh,http://www.wikidata.org/entity/Q116796,wd:Q116796,17520721,Azerbaijani singer
209,The Bahamas,30,Sebastian Bach,http://www.wikidata.org/entity/Q363490,wd:Q363490,584217,Canadian singer
210,The Bahamas,12,Etta Cameron,http://www.wikidata.org/entity/Q466396,wd:Q466396,26439624,Bahamian singer (1939-2010)
211,The Bahamas,6,Johnny Kemp,http://www.wikidata.org/entity/Q3182925,wd:Q3182925,2177720,Bahamian-American singer-songwriter
212,The Bahamas,3,André Toussaint,http://www.wikidata.org/entity/Q15959144,wd:Q15959144,42158446,Haitian singer and guitarist
213,The Bahamas,2,Rick Carey,http://www.wikidata.org/entity/Q7331280,wd:Q7331280,17602218,Bahamian singer
214,The Bahamas,2,Angelique Sabrina,http://www.wikidata.org/entity/Q16240193,wd:Q16240193,39266902,Bahamian singer
215,The Bahamas,2,Ronnie Butler,http://www.wikidata.org/entity/Q7365824,wd:Q7365824,27107883,Bahamian singer
216,The Bahamas,1,Brettina,http://www.wikidata.org/entity/Q4962464,wd:Q4962464,27181280,"Bahamian singer-songwriter, model, and actress"
217,The Bahamas,1,Eric Gibson,http://www.wikidata.org/entity/Q5386576,wd:Q5386576,2857094,Bahamian musician
218,Bahrain,20,Assala Nasri,http://www.wikidata.org/entity/Q2353139,wd:Q2353139,10521966,Syrian singer
219,Syria,20,Assala Nasri,http://www.wikidata.org/entity/Q2353139,wd:Q2353139,10521966,Syrian singer
220,Bahrain,17,Mamta Mohandas,http://www.wikidata.org/entity/Q2050320,wd:Q2050320,6388103,Indian film actress and playback singer
221,Bahrain,15,Frank Turner,http://www.wikidata.org/entity/Q451028,wd:Q451028,6161920,English singer-songwriter
222,Bahrain,14,Hala Al Turk,http://www.wikidata.org/entity/Q12208559,wd:Q12208559,38242080,pop singer
223,Bahrain,9,Dawia batma,http://www.wikidata.org/entity/Q5302279,wd:Q5302279,35133977,Moroccan singer
224,Bahrain,6,Rashed Al-Majed,http://www.wikidata.org/entity/Q4120213,wd:Q4120213,5155523,"singer, musician, record producer"
225,Saudi Arabia,6,Rashed Al-Majed,http://www.wikidata.org/entity/Q4120213,wd:Q4120213,5155523,"singer, musician, record producer"
226,Bahrain,6,Hind,http://www.wikidata.org/entity/Q5765817,wd:Q5765817,8155402,Bahraini singer
227,Bahrain,4,Ala Ghawas,http://www.wikidata.org/entity/Q4705095,wd:Q4705095,24084811,Bahraini singer
