Source.Name,river,riverLabel,country,countryLabel,length
query (2).csv,http://www.wikidata.org/entity/Q179251,Morava,http://www.wikidata.org/entity/Q213,Czech Republic,388
query (2).csv,http://www.wikidata.org/entity/Q408614,Aire,http://www.wikidata.org/entity/Q142,France,1256
query (2).csv,http://www.wikidata.org/entity/Q784623,Authie,http://www.wikidata.org/entity/Q142,France,10818
query (2).csv,http://www.wikidata.org/entity/Q28854883,Gouyanzeur,http://www.wikidata.org/entity/Q142,France,101
query (2).csv,http://www.wikidata.org/entity/Q1244766,Scorff,http://www.wikidata.org/entity/Q142,France,786
query (2).csv,http://www.wikidata.org/entity/Q149182,Black Elster,http://www.wikidata.org/entity/Q183,Germany,179
query (2).csv,http://www.wikidata.org/entity/Q177480,Tauber,http://www.wikidata.org/entity/Q183,Germany,13063
query (2).csv,http://www.wikidata.org/entity/Q316393,Brigach,http://www.wikidata.org/entity/Q183,Germany,43
query (2).csv,http://www.wikidata.org/entity/Q495814,rivière d'Étel,http://www.wikidata.org/entity/Q142,France,351
query (2).csv,http://www.wikidata.org/entity/Q1809877,Richelieu River,http://www.wikidata.org/entity/Q16,Canada,124
query (2).csv,http://www.wikidata.org/entity/Q700083,Elz,http://www.wikidata.org/entity/Q183,Germany,90
query (2).csv,http://www.wikidata.org/entity/Q1241429,Elassonites,http://www.wikidata.org/entity/Q41,Greece,20
query (2).csv,http://www.wikidata.org/entity/Q3392,Nile,http://www.wikidata.org/entity/Q115,Ethiopia,6690
query (2).csv,http://www.wikidata.org/entity/Q1997895,Norder Tief,http://www.wikidata.org/entity/Q183,Germany,85
query (2).csv,http://www.wikidata.org/entity/Q748195,Ruzizi River,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,117
query (2).csv,http://www.wikidata.org/entity/Q7414367,San Javier River,http://www.wikidata.org/entity/Q155,Brazil,250
query (2).csv,http://www.wikidata.org/entity/Q7414367,San Javier River,http://www.wikidata.org/entity/Q414,Argentina,250
query (2).csv,http://www.wikidata.org/entity/Q118251,Madeira River,http://www.wikidata.org/entity/Q155,Brazil,1450
query (2).csv,http://www.wikidata.org/entity/Q118251,Madeira River,http://www.wikidata.org/entity/Q750,Bolivia,1450
query (2).csv,http://www.wikidata.org/entity/Q882739,Blue Nile,http://www.wikidata.org/entity/Q115,Ethiopia,1783
query (2).csv,http://www.wikidata.org/entity/Q1204978,Luo River,http://www.wikidata.org/entity/Q148,People's Republic of China,420
query (2).csv,http://www.wikidata.org/entity/Q205428,Semliki River,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,230
query (2).csv,http://www.wikidata.org/entity/Q1164945,Nipigon River,http://www.wikidata.org/entity/Q16,Canada,48
query (2).csv,http://www.wikidata.org/entity/Q1399427,Fecht,http://www.wikidata.org/entity/Q142,France,49
query (2).csv,http://www.wikidata.org/entity/Q2096369,Tärendö River,http://www.wikidata.org/entity/Q33,Finland,52
query (2).csv,http://www.wikidata.org/entity/Q3433660,Rivière du Cap Rouge,http://www.wikidata.org/entity/Q16,Canada,235
query (2).csv,http://www.wikidata.org/entity/Q16025268,North Branch Missisquoi River,http://www.wikidata.org/entity/Q16,Canada,17
query (2).csv,http://www.wikidata.org/entity/Q2887963,Orteguaza River,http://www.wikidata.org/entity/Q739,Colombia,220
query (2).csv,http://www.wikidata.org/entity/Q3458553,Caguán River,http://www.wikidata.org/entity/Q739,Colombia,630
query (2).csv,http://www.wikidata.org/entity/Q48245,Artibonite River,http://www.wikidata.org/entity/Q786,Dominican Republic,240
query (2).csv,http://www.wikidata.org/entity/Q147326,Yaque del Sur,http://www.wikidata.org/entity/Q786,Dominican Republic,209
query (2).csv,http://www.wikidata.org/entity/Q605122,Schuylkill River,http://www.wikidata.org/entity/Q142,France,207
query (2).csv,http://www.wikidata.org/entity/Q605122,Schuylkill River,http://www.wikidata.org/entity/Q16,Canada,207
query (2).csv,http://www.wikidata.org/entity/Q1424101,Tallapoosa River,http://www.wikidata.org/entity/Q16,Canada,431
query (2).csv,http://www.wikidata.org/entity/Q1424101,Tallapoosa River,http://www.wikidata.org/entity/Q142,France,431
query (2).csv,http://www.wikidata.org/entity/Q258243,Würm,http://www.wikidata.org/entity/Q183,Germany,398
query (2).csv,http://www.wikidata.org/entity/Q331455,Casiquiare canal,http://www.wikidata.org/entity/Q739,Colombia,326
query (2).csv,http://www.wikidata.org/entity/Q340043,Medjerda River,http://www.wikidata.org/entity/Q262,Algeria,460
query (2).csv,http://www.wikidata.org/entity/Q772214,Chelif River,http://www.wikidata.org/entity/Q262,Algeria,725
query (2).csv,http://www.wikidata.org/entity/Q1146608,Moulouya River,http://www.wikidata.org/entity/Q262,Algeria,520
query (2).csv,http://www.wikidata.org/entity/Q3178492,Oued Zouzfana,http://www.wikidata.org/entity/Q262,Algeria,3305
query (2).csv,http://www.wikidata.org/entity/Q3567345,Gorgopotamos,http://www.wikidata.org/entity/Q41,Greece,15
query (2).csv,http://www.wikidata.org/entity/Q118251,Madeira River,http://www.wikidata.org/entity/Q750,Bolivia,1450
query (2).csv,http://www.wikidata.org/entity/Q99785,Huangpu River,http://www.wikidata.org/entity/Q148,People's Republic of China,97
query (2).csv,http://www.wikidata.org/entity/Q907674,Suzhou Creek,http://www.wikidata.org/entity/Q148,People's Republic of China,125
query (2).csv,http://www.wikidata.org/entity/Q909082,Brenne,http://www.wikidata.org/entity/Q142,France,72
query (2).csv,http://www.wikidata.org/entity/Q1628056,Paroo River,http://www.wikidata.org/entity/Q408,Australia,600
query (2).csv,http://www.wikidata.org/entity/Q2048161,Dulce River,http://www.wikidata.org/entity/Q774,Guatemala,43
query (2).csv,http://www.wikidata.org/entity/Q153394,Ahr,http://www.wikidata.org/entity/Q183,Germany,85
query (2).csv,http://www.wikidata.org/entity/Q131574,Vltava,http://www.wikidata.org/entity/Q40,Austria,430
