0,1,2,3,4,5,6
 Zimbabwe *,Africa,Eastern Africa,7.5,981,2012,WHO
Chad,-,-,9,-,-,-
Republic of the Congo,Africa,-,9.3,-,-,-
DR Congo,,,13.6,,,
Ivory Coast,,,11.6,,,
Djibouti,,,6.5,,,
Equatorial Guinea,,,2.3,,,
Eritrea,,,8,,,
Fiji,,,2.3,,,
Gabon,,,13.4,,,
Gambia,,,9.1,,,
Guinea,,,8.8,,,
Laos,,,7,,,
Libya,,,2.5,,,
Madagascar,,,7.7,,,
Mali,,,10.9,,,
Mauritania,,,9.9,,,
North Korea,,,4.4,,,
Papua New Guinea,,,10.4,,,
Somalia,,,4.3,,,
Tmor-Leste,,,3.6,,,
Togo,,,9,,,
